product_id;Product Type:;Producer:;Collections:;Age Group:;Ground type:;Class:;Upper:;Type of binding:;Boots with sock:;Collection:;Color:;Plays in these boots:;Manufacturer's Data:;Team:
397;Football boots;Puma;Puma Ultra;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Eclipse;Black;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
398;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;Yes;Puma Breakthrough;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
399;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Breakthrough;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
400;Football boots;Puma;Puma Ultra;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Breakthrough;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
401;Football boots;Puma;Puma Ultra;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Breakthrough;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
402;Football boots;Puma;Puma Ultra;Men;Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Breakthrough;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
403;Football boots;Puma;Puma Ultra;Men;Indoor (IC/IN);Professional;Synthetic;Shoelace;No;Puma Breakthrough;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
404;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Breakthrough;sky blue;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
405;Football boots;New Balance;New Balance Furon;Men;Firm Ground (FG);Professional;Synthetic;;No;New Balance Beyond Orbit;Black;Raheem Sterling;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
406;Football boots;New Balance;New Balance Furon;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;New Balance Beyond Orbit;Black;Raheem Sterling;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
407;Football boots;New Balance;New Balance Tekela;Men;Firm Ground (FG);Professional;Synthetic;Lack;Yes;New Balance Own Now;Gold;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
408;Football boots;New Balance;New Balance Tekela;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;New Balance Own Now;Gold;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
409;Football boots;New Balance;New Balance Tekela;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Lack;Yes;New Balance Own Now;Gold;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
410;Football boots;New Balance;New Balance Furon;Men;Firm Ground (FG);Professional;Synthetic;;No;New Balance Own Now;Silver;Raheem Sterling;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
411;Football boots;New Balance;New Balance Furon;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;New Balance Own Now;Silver;Raheem Sterling;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
412;Football boots;New Balance;New Balance 442;Men;Firm Ground (FG);Professional;Leather;Shoelace;No;New Balance Own Now;Silver;;New Balance Athletics, Inc., Brighton Landing, 100 Guest Street, Boston, MA 02135-2088, US;
413;Football boots;Mizuno;Mizuno Alpha;Men;Firm Ground (FG);Professional;Synthetic;Shoelace;No;;Red;;Mizuno Co., Mizuno House, 612 Reading Road, Winnersh, Wokingham, Berkshire RG41 5HE, UK;
414;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Heatspawn;Orange;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
415;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Heatspawn;Orange;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
416;Football boots;adidas;adidas Copa;Men;Soft Ground (SG/SG-PRO);Professional;Leather;Shoelace;No;adidas Heatspawn;White, Orange;Paulo Dybala;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
417;Football boots;Puma;Puma King;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma King Black;Black;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
418;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma King Black;Black;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
419;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Pursuit;Yellow;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
420;Football boots;Puma;Puma Future;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;Yes;Puma Pursuit;Yellow;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
421;Football boots;Puma;Puma Ultra;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;Puma Pursuit;Mint;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
422;Football boots;Puma;Puma King;Men;Firm Ground (FG), Artificial Grass (AG/TF);Professional;Synthetic;Shoelace;No;Puma Pursuit;White;;Puma SE, Puma Way 1, 91074 Herzogenaurach, DE;
423;Football boots;adidas;adidas Predator;Men;Soft Ground (SG/SG-PRO);Professional;Synthetic;Shoelace;No;adidas Own Your Football;Black, Pink;Jude Bellingham;adidas AG, Adi-Dassler-Strasse 1, 91074 Herzogenaurach, DE;
